id,keyo,ingredients
145,19,1 Lemon 
146,19,2 Tbsps Butter 
147,19,1 Shallot
148,19,1 Tbsp Capers
149,19,3 Tbsps Panko Breadcrumbs
150,19,¼ cup Grated Parmesan Cheese
151,20,1 lb Sweet Potatoes 
152,20,4 oz Cranberries 
153,20,½ lb Brussels Sprouts
154,20,2 Tbsps Apple Cider Vinegar 
155,20,2 Tbsps Sugar 
156,20,1 1-Inch Piece Ginger 
157,20,¼ cup Roasted Walnuts 
158,20,"1 Tbsp Weeknight Hero Spice Blend (Garlic Powder, Onion Powder, Smoked Paprika, & Whole Dried Parsley)"
159,21,3 Tbsps Panko Breadcrumbs 
160,21,2 Tbsps All-Purpose Flour 
161,21,1 Tbsp Apple Cider Vinegar
162,21,"1 Tbsp Southern Spice Blend (Onion Powder, Garlic Powder, Ground Yellow Mustard, Smoked Paprika, & Cayenne Pepper)"
163,22,6 oz Whole Grain Pipe Rigate Pasta 
164,22,2 oz Roasted Piquillo Peppers 
165,22,2 Tbsps Grated Parmesan Cheese 
166,22,2 Tbsps Sliced Roasted Almonds 
167,23,½ cup Jasmine Rice 
168,23,1¾ cups Light Coconut Milk 
169,23,1 Lime 
170,23,1 Yellow Onion 
171,23,1 bunch Mint
172,23,2 Tbsps Dried Mung Beans 
173,23,1½ Tbsps Yellow Curry Paste 
174,23,1 1-Inch Piece Ginger 
175,23,1 Tbsp Sugar 
176,23,½ lb Baby Bok Choy
177,24,1 Turkey Breast Roast 
178,24,⅔ cup Semi-Pearled Farro 
179,24,1 Apple 
180,24,1 Lemon 
181,24,1 Endive 
182,24,1 bunch Chives 
183,24,2 Tbsps Butter 
184,24,1 Shallot
185,24,1 Tbsp Honey 
186,24,1 Tbsp Whole Grain Dijon Mustard
187,25,2 Skin-On Salmon Fillets 
188,25,2 cloves Garlic 
189,25,6 oz Carrots 
190,25,1 Lemon 
191,25,¾ lb Yukon Gold Potatoes 
192,25,1 Pinch Saffron 
193,25,1 Tbsp Honey 
194,25,½ cup Plain Greek Yogurt 
195,25,½ tsp Crushed Aleppo Pepper 
196,25,½ tsp Ground Cumin
197,26,"2 Boneless, Skinless Chicken Breasts "
198,26,¾ lb Yukon Gold Potatoes 
199,26,2 Tbsps Crème Fraîche 
200,26,1 Tbsp Sherry Vinegar
201,27,2 cloves Garlic
202,27,2 Russet Potatoes
203,27,1 bunch Chives
204,27,3 Tbsps Creamy Mustard Sauce
205,27,2 Tbsps Butter
206,27,1 Tbsp Red Wine Vinegar
207,28,4 Potato Buns
208,28,2 cloves Garlic
209,28,2 Scallions
210,28,2 Sweet Potatoes
211,28,½ lb Baby Bok Choy
212,28,2 Tbsps Hoisin Sauce
213,28,2 Tbsps Sweet White Miso Paste 
214,28,½ oz Dried Shiitake Mushrooms
215,28,¼ cup Mayonnaise
216,29,6 oz Lumaca Rigata Pasta 
217,29,2 cloves Garlic 
218,29,1 8-Ounce Can Tomato Sauce 
219,29,1½ tsps Calabrian Chile Paste 
220,29,2 Tbsps Crème Fraîche 
221,29,2 Tbsps Sliced Roasted Almonds 
222,29,2 Tbsps Verjus Blanc
223,30,1 Endive
224,30,2 cloves Garlic
225,30,2 oz Smoked Gouda Cheese 
226,30,2 oz Smoked Gouda Cheese 
227,30,1 Red Onion 
228,30,¾ lb Pizza Dough
229,30,4 oz Cremini Mushrooms 
230,30,1 Apple 
231,30,1 Tbsp Honey 
232,30,1 Tbsp Apple Cider Vinegar
233,31,4 Flour Tortillas 
234,31,2 Scallions 
235,31,6 oz Chioggia Beet 
236,31,1 Jalapeño Pepper 
237,31,1 Lime 
238,31,1 Navel Orange 
239,31,3 Tbsps Roasted Peanuts
240,31,2 oz White Cheddar Cheese
241,31,¼ cup Mexican Crema 
242,31,"1 Tbsp Mexican Spice Blend (Ancho Chile Powder, Smoked Paprika, Garlic Powder, Ground Cumin, & Dried Mexican Oregano)"
243,32,1 lb Korean Rice Cakes 
244,32,2 cloves Garlic 
245,32,2 heads Baby Bok Choy 
246,32,2 Tbsps Soy Glaze 
247,32,1½ Tbsps Gochujang 
248,32,1 1-Inch Piece Ginger
249,32,¼ cup Black Bean Sauce
250,32,¼ cup Crème Fraîche
251,32,1 bunch Chives
252,33,2 Cage-Free Farm Eggs 
253,33,1 1-Inch Piece Ginger
254,33,1½ Tbsps Soy Marinade 
255,33,2 Tbsps Roasted Peanuts
256,34,10 oz Chopped Chicken Breast 
257,34,1¾ cups Light Coconut Milk 
258,34,3 Carrots 
259,34,1 Lime 
260,34,1 head Baby Bok Choy
261,34,½ cup Dried Shiitake Mushrooms 
262,34,2 tsps Golden Mountain Sauce 
263,34,1½ Tbsps Yellow Curry Paste
264,35,½ cup Black Beluga Lentils 
265,35,2 cloves Garlic 
266,35,1 Lemon 
267,35,½ lb Broccoli 
268,35,1 bunch Parsley 
269,35,2 Tbsps Butter 
270,35,1 oz Golden Or Red Sweet Piquante Peppers 
271,35,1 Tbsp Capers
272,36,2 Grassfed Strip Steaks 
273,36,4 oz Cremini Mushrooms 
274,36,1 1-Inch Piece Ginger 
275,36,2 Tbsps Sweet Chili Sauce
276,37,"2 Boneless, Skinless Chicken Breasts "
277,37,2 Carrots 
278,37,1 Red Onion 
279,37,2 cloves Garlic 
280,37,½ cup French Green Lentils 
281,37,1 bunch Collard Greens 
282,37,2 Tbsps Tomato Paste 
283,37,¼ tsp Crushed Red Pepper Flakes 
284,37,1 Tbsp Capers 
285,37,1 Tbsp Apple Cider Vinegar
286,37,2 Tbsps Crumbled Goat Cheese 
287,37,"1 Tbsp Tuscan Spice Blend (Ground Fennel Seeds, Whole Fennel Seeds, Ground Rosemary, & Ground Sage)"
