id,title,subtitle,description,recipe_img,ingredients_img
16,Pork Chorizo Tacos,with Cheesy Roasted Potatoes,"These tacos get plenty of bold flavor from ground chorizo (a type of spiced pork sausage), cooked into a delightfully saucy filling with cabbage and fresh citrus juices. On the side, weʼre livening up roasted potatoes with garlic and Cotija cheese.",0101_2PRE08_Saucy-Chorizo_Tacos_97328_WEB_SQ_hi_res,0101_ING_2PRE08_large_feature
17,Roasted Broccoli & Fregola Sarda Salad,with Hard-Boiled Eggs & Tahini Dressing,"This Middle Eastern-inspired recipe is brimming with varied flavors and textures. Toasty
pearls of pasta, roasted vegetables (seasoned with savory, herby zaʼatar), crumbled
cheese, and chopped almonds all come together in a smooth, nutty dressing.",1218_2PV3_Brocoli-Fregola-Sarde_96640_SQ_hi_res,ING_12-18_2PV3_large_feature
18,Roasted Brussels Sprout & Freekeh Salad,with Lemon Yogurt & Barrel-Aged Feta,"This Mediterranean-inspired grain salad is brimming with varied, vibrant flavors. Nutty freekeh and roasted Brussels sprouts get pops of sweetness from pickled peppers and dates, balanced by briny crumbled Feta. To dollop on top, weʼre serving lemonseasoned yogurt for extra brightness.",1225_2PV3_Broccoli-Freekeh_100110_SQ_hi_res,ING_12-25_2PV3_large_feature
19,Roasted Cauliflower Salad,with Caper Brown Butter & Parmesan Breadcrumbs,"Seasonal salads donʼt get much more satisfying than this. Weʼre bringing roasted cauliflower and sautéed kale together with cheesy toasted breadcrumbs and a briny caper-studded dressing. Served on top, soft-boiled eggs add extra richness.",0101_2PV3_Roasted_Cauliflower-Kale-Salad_97243_SQ_hi_res,ING_1-1_2PV3_large_feature
20,Roasted Chicken & Fall Vegetables,with Cranberry & Ginger Compote,"For this comforting autumn dinner, weʼre seasoning half chickens with the classic flavors of garlic, onion, and smoked paprika, then roasting them along with sweet potatoes and Brussels sprouts. The rich chicken finds delicious contrast in a tart-sweet compote, made simply by cooking fresh cranberries and ginger with a bit of sugar and water.",1120_FPP_Roasted-Chicken_92314_WEB_SQ_hi_res,1120_ING_FPP_large_feature
21,Roasted Pork & Broccoli,"with Apple, Cheese Sauce, & Garlic Breadcrumbs","To elevate the classic savory-sweet pairing, weʼre topping roasted pork with sautéed apple in this crowd-pleasing recipe. The pork and a side of broccoli, roasted on the same sheet pan, come together with a rich, warming fontina cheese sauce.",0108_2PRE08_Roasted-Pork_98452_WEB_SQ_hi_res,0108_ING_2PRE08_large_feature
22,Roasted Red Pepper Pasta,with Lemon-Parmesan Broccoli,"In this quick-cooking recipe, whole grain pipe rigate gets pops of flavor from sweet roasted piquillo peppers and briny capers—plus a layer of exciting crunch from almonds. It all comes together in a creamy, mildly spicy sauce.",0108_2PV1_Roasted-Pepper-Pasta_97907_SQ_hi_res,ING_1-8_2PV1_large_feature
23,Roasted Squash Curry,with Crispy Mung Beans & Jasmine Rice,"In this recipe, veggie curry gets a unique lift from spaghetti squash—oven-roasted, then broken into pasta-like strands with a fork. Weʼre finishing our squash and bok choy in a sauce made with fresh aromatics and two well-balanced pantry ingredients: spicy yellow curry paste and cooling coconut milk. A garnish of dried mung beans brings it all together with exciting crunch.",Beauty_20-_20Yellow_20Curry_20Paste_20-_209700_thumb,ING_11-27_2PV3_large_feature
24,Roasted Turkey Breast & Farro-Endive Salad,with Brown Butter Apple Compote,"Fall comfort food gets a delicious lift in this recipe. A sweet, toasty compote (simply apple and shallot cooked in brown butter) balances our savory roasted turkey breast. On the side, weʼre tossing warm grains with endive—first cooked with a bit of honey and lemon to brighten its mildly bitter flavor.",1211_2PRE08_Turkey_98057_WEB_SQ_hi_res,1211_ING_2PRE08_large_feature
25,Salmon & Honey-Glazed Carrots,with Lemon-Saffron Yogurt Sauce,"This elegant dish gets unique flavor from a prized spice, saffron, used two ways: added to the water used to boil the potatoes and stirred into a creamy yogurt sauce. The bright sauce is delicious spooned over rich salmon, potatoes, and carrots—which get another flavor-packed lift from a glaze of honey and fragrant cumin. Aleppo pepper adds just a hint of spice throughout the dish, balanced by cooling fresh mint.",1106_2PF_Salmon-Honey-Carrots_94837_SQ_hi_res,1211_ING_2PRE08_large_feature
26,Seared Chicken & Mashed Potatoes,with Maple-Glazed Carrots,"Weʼre giving seared chicken a lift with a rich pan sauce, made with sweet maple syrup and tangy sherry vinegar. Itʼs the perfect accompaniment for creamy mashed potatoes and roasted carrots, dressed with a bit more maple syrup.",0108_2PP_Chicken-Mashed-Potatoes_98562_SQ_hi_res,ING_1-8_2PP_large_feature
27,Seared Steaks & Garlic Butter,with Oven Fries,"“Steak frites,” or steak with french fries, is classic French bistro fare. Tonightʼs steaks get another layer of rich flavor from garlic butter, spooned over them as they cook. Creamy mustard sauce is a perfect match for the rich steaks and hearty oven-roasted fries, while a simple salad adds refreshing contrast. (You may receive crisp romaine or tender butter lettuce.)",1127_FPM_Steak-Fries_94016_WEB_SQ_hi_res,1127_ING_FPM_large_feature
28,Shiitake & Hoisin Beef Burgers,with Miso Mayonnaise & Roasted Sweet Potatoes,"These Asian-inspired burgers get their irresistible umami flavor from chopped shiitake mushrooms (mixed right into the beef) and a miso-mayo spread. Piled on top, crisp ribbons of bok choy round out the burgers, served with a side of roasted sweet potato wedges.",1204_FPM_Shiitake-Hoisin-Burger_94634_WEB_SQ_hi_res,1204_ING_FPM_large_feature
29,Shrimp Fra Diavolo,with Lumaca Rigata Pasta,"Tonightʼs variation on the beloved Italian-American dish gets its “devilish” heat from Calabrian chile paste, mixed into a tangy-sweet tomato sauce. It perfectly coats shrimp, cabbage, and lumaca rigata pasta. A garnish of sliced almonds finishes the dish with contrasting crunch.",0101_2PF_Shrimp-Fra-Diavolo_97454_SQ_hi_res,ING_1-1_2PF_large_feature
30,Smoked Gouda & Mushroom Flatbread,with Endive & Apple Salad,"For this rustic seasonal meal, weʼre topping flatbread—made by rolling out pizza dough
until extra-thin—with two kinds of cheeses, including nutty smoked Gouda. Cremini
mushrooms add even more irresistibly savory flavor to the flatbread, balanced by a
bright, crisp endive and apple salad.",0101_2PV2_Smoky-Kale-Flatbread_97386_SQ_hi_res,ING_1-1_2PV2_large_feature
31,Spicy Chicken Quesadillas,with Beet & Orange Salad,"A seasonal salad of striped Chioggia beet, juicy orange, and peanuts is a fresh pairing for these zesty quesadillas. Weʼre seasoning the chicken filling with both jalapeño pepper and Mexican spices—balanced by a layer of melty white cheddar. Mexican crema brightened up with lime juice is perfect for dipping.",1127_2PP_Spicy-Chicken-Quesadillas_93502_SQ_hi_res,ING_11-27_2PP_large_feature
32,Spicy Pork & Korean Rice Cakes,with Bok Choy,"In this crowd-pleasing recipe, a savory and spicy sauce (balanced by a touch of cooling crème fraîche) brings together ground pork, bok choy, and aromatics. Weʼre mixing in delightfully chewy tteok, or rice cakes—a staple of Korean cuisine.",1225_FPM_Rice-Cakes_100092_WEB_SQ_hi_res,1225_ING_FPM_large_feature
33,Sweet & Sour Vegetable Stir-Fry,with Fried Eggs & Peanuts,"Two kinds of citrus—seasonal orange and lemon—give the sauce for our stir-fried vegetables its irresistible sweet-sour balance. The carrots, celery, and bok choy perfectly contrast a rich fried egg and fluffy, radish-studded white rice.",0108_2PV2_Stir-Fry-Egg_0195_SQ_hi_res,ING_1-8_2PV2_large_feature
34,Thai Curry Chicken,with Carrots & Bok Choy,"In tonightʼs dish, the spicy and aromatic flavors of yellow curry paste—a Thai staple— shine through a lightly sweet coconut milk broth. Sautéed chicken, carrots, and bok choy give the curry plenty of hearty texture, while fluffy rice eagerly soaks up all the complex flavors. (Chefs, this curry paste packs a punch of heat, so be sure to use only as much as youʼd like!)",1218_2PRE07_Thai-Curry-Chicken_96739_WEB_SQ_hi_res,1218_ING_2PRE07_large_feature
35,Tilapia & Black Lentil Salad,with Lemon Pan Sauce,"In this dish, weʼre putting a twist on Italian gremolata: adding pickled peppers to the classic parsley, garlic, and lemon condiment. The bright, tangy flavors perk up a hearty salad of black lentils and roasted broccoli. Weʼre also using lemon juice as the base for an easy pan sauce to serve over our seared tilapia.",1225_2PF_Tilapia_74912_SQ_hi_res,1225_ING_2PF_large_feature
36,Top Chef Seared Grassfed Steaks,with Sweet Chili-Glazed Vegetables,"In this recipe, inspired by our Quickfire Challenge from Top Chef Season 15 on Bravo, simple grassfed steaks and rice get a sweet, tart, and spicy lift from glazed mushrooms and bok choy. Sliced radishes, softened a bit with lime juice, finish the dish off with subtle crunch.",0108_FPM_Seared-Steaks_97965_WEB_SQ_hi_res,0108_ING_FPM_large_feature
37,Tuscan Chicken Green Lentil Stew,with Goat Cheese,"In this comforting cold-weather recipe, weʼre serving Tuscan-spiced chicken over tender green lentils and vegetables cooked in a light, savory tomato broth. Capers and crushed red pepper add briny flavor and a touch of heat to cut through the rich, earthy stew. (Chefs, rinsing the lentils after cooking removes excess starch, resulting in a more delicate flavor.",0101_2PP_Chicken-Lentil-Stew_100567_SQ_hi_res,ING_1-1_2PP_large_feature
