id,keyo,image hi-res,image 2 retina,direction
11,2,0101_2PM_Steaks-Diane_18527_WEB_high_feature,0101_2PM_Steaks-Diane_18527_WEB_retina_feature,"5. While the beef rests, add a drizzle of olive oil to the pan of reserved fond and heat on medium-high until hot. Add the sliced mushrooms in an even layer. Cook, without stirring, 2 to 3 minutes, or until browned. Add the chopped garlic; season with salt and pepper. Cook, stirring frequently, 1 to 2 minutes, or until softened and fragrant. Add the mustard, verjus, and 2 tablespoons of water (be careful, as the liquid may splatter); season with salt and pepper. Cook, stirring frequently and scraping up any fond, 30 seconds to 1 minute, or until thoroughly combined. Turn off the heat and stir in the remaining butter until melted. (If the sauce seems too thick, gradually add up to 2 tablespoons of water to achieve your desired consistency.) Season with salt and pepper to taste."
12,2,0101_2PM_Steaks-Diane_18536_WEB_high_feature,0101_2PM_Steaks-Diane_18536_WEB_retina_feature,6. Serve the rested beef with the mashed potatoes and cooked kale. Top the beef and potatoes with the mushroom sauce. Enjoy!
13,3,1225_FPV_Pesto-Broccoli-Sandwich_18814_WEB_high_feature,1225_FPV_Pesto-Broccoli-Sandwich_18814_WEB_retina_feature,"1. Place an oven rack in the center of the oven, then preheat to 475°F. Wash and dry the fresh produce. Cut off and discard the bottom 1/2 inch of the broccoli stem; cut the broccoli into small pieces, keeping the florets intact. Peel and roughly chop the garlic. Halve the focaccia. Grate the asiago cheese on the large side of a box grater. Tear the mozzarella cheese into small pieces. In a bowl, combine the tomato sauce and Italian seasoning; season with salt and pepper to taste."
14,3,1225_FPV_Pesto-Broccoli-Sandwich_18816_WEB_high_feature,1225_FPV_Pesto-Broccoli-Sandwich_18816_WEB_retina_feature,"2. In a large pan (nonstick, if you have one), heat 2 teaspoons of olive oil on medium-high until hot. Add the broccoli pieces; season with salt and pepper. Cook, stirring occasionally, 3 to 4 minutes, or until slightly softened. Add the chopped garlic; cook, stirring frequently, 1 to 2 minutes, or until slightly softened and fragrant. Add 1/2 cup of water; season with salt and pepper. Cook, stirring occasionally, 4 to 5 minutes, or until the broccoli has softened and the water has cooked off. Turn off the heat."
15,3,1225_FPV_Pesto-Broccoli-Sandwich_18818_WEB_high_feature,1225_FPV_Pesto-Broccoli-Sandwich_18818_WEB_retina_feature,"3. Line a sheet pan with foil. Place the halved focaccia on the foil, cut side up; drizzle with olive oil. Top with the seasoned tomato sauce. Top the focaccia bottom with the grated asiago cheese, half the mozzarella cheese, and the cooked broccoli. Evenly top the broccoli with the remaining mozzarella cheese and pesto (stirring before adding). Season both focaccia halves with salt and pepper. Bake, rotating the sheet pan halfway through, 11 to 13 minutes, or until lightly browned and the cheese has melted. Remove from the oven; let stand for at least 2 minutes. Transfer to a cutting board."
16,3,1225_FPV_Pesto-Broccoli-Sandwich_18819_WEB_high_feature,1225_FPV_Pesto-Broccoli-Sandwich_18819_WEB_retina_feature,"4. While the focaccia bakes, cut off and discard the root end of the lettuce; roughly chop the leaves. Place in a large bowl. Roughly chop the peppers. Halve 1 clementine crosswise; squeeze the juice into a bowl, straining out any seeds. Peel the remaining clementine; separate into segments. To make the dressing, add the crème fraîche, mustard, and 1 tablespoon of water to the bowl of clementine juice. Slowly whisk in a drizzle of olive oil until combined; season with salt and pepper to taste."
17,3,1225_FPV_Pesto-Broccoli-Sandwich_18821_WEB_high_feature,1225_FPV_Pesto-Broccoli-Sandwich_18821_WEB_retina_feature,"5. Just before serving, add the clementine segments, chopped peppers, and dressing to the bowl of chopped lettuce. Toss to thoroughly coat. Season with salt and pepper to taste."
18,3,1225_FPV_Pesto-Broccoli-Sandwich_18823_WEB_high_feature,1225_FPV_Pesto-Broccoli-Sandwich_18823_WEB_retina_feature,"6. Evenly top the baked focaccia bottom with the parmesan cheese. Complete with the focaccia top. Using a serrated knife, cut the finished sandwich into 4 equal-sized pieces. Serve with the salad on the side. Enjoy!"
19,4,0101_FPV_Broccoli-Mozzarella-Calzones_18498_WEB_high_feature,0101_FPV_Broccoli-Mozzarella-Calzones_18498_WEB_retina_feature,"1. Remove the dough from the refrigerator to bring to room temperature. Place an oven rack in the center of the oven, then preheat to 475°F. Wash and dry the fresh produce. Cut off and discard the bottom 1/2 inch of the broccoli stem, then roughly chop the broccoli. Peel and roughly chop the garlic. Tear the mozzarella cheese into small pieces. Quarter and deseed the lemon."
20,4,0101_FPV_Broccoli-Mozzarella-Calzones_18428_WEB_high_feature,0101_FPV_Broccoli-Mozzarella-Calzones_18428_WEB_retina_feature,"2. In a large pan (nonstick, if you have one), heat 2 teaspoons of olive oil on medium-high until hot. Add the chopped broccoli; season with salt and pepper. Cook, stirring occasionally, 4 to 6 minutes, or until lightly browned. Add 2/3 of the chopped garlic. Cook, stirring constantly, 30 seconds to 1 minute, or until fragrant. Add 1/4 cup of water; season with salt and pepper. Cook, stirring occasionally, 2 to 3 minutes, or until the broccoli has softened and the water has cooked off. Transfer to a large bowl. Add the mozzarella cheese, ricotta cheese, half the Italian seasoning, and the juice of 1 lemon wedge; stir to combine. Season with salt and pepper. Wipe out the pan."
21,4,0101_FPV_Broccoli-Mozzarella-Calzones_18402_WEB_high_feature,0101_FPV_Broccoli-Mozzarella-Calzones_18402_WEB_retina_feature,"3. Lightly oil a sheet pan. Divide the dough into 2 equal-sized portions; using your hands and a rolling pin (or wine bottle), gently stretch and roll the portions into ¼-inch-thick rounds. (If the dough is resistant, let rest for 5 minutes.) Divide the filling between the centers of the rounds; fold each round in half over the filling. Using a fork, crimp the edges of the dough to seal. Transfer to the sheet pan. Using a fork, poke a few holes across the tops of the calzones to vent. Lightly drizzle the calzones with olive oil. Bake 16 to 18 minutes, or until golden brown. Transfer to a cutting board and let stand for at least 2 minutes."
22,4,0101_FPV_Broccoli-Mozzarella-Calzones_18428_WEB_high_feature,0101_FPV_Broccoli-Mozzarella-Calzones_18428_WEB_retina_feature,"4. While the calzones bake, using the flat side of your knife, smash the olives; remove and discard the pits, then roughly chop. Cut off and discard the root end of the lettuce; roughly chop the leaves. To make the dressing, in a large bowl, combine the mayonnaise, half the parmesan cheese, the juice of the remaining lemon wedges, and a drizzle of olive oil. Season with salt and pepper to taste."
23,4,0101_FPV_Broccoli-Mozzarella-Calzones_18416_WEB_high_feature,0101_FPV_Broccoli-Mozzarella-Calzones_18416_WEB_retina_feature,"5. While the calzones continue to bake, in the pan used to cook the broccoli, heat 2 teaspoons of olive oil on medium-high until hot. Add the remaining chopped garlic; cook, stirring constantly, 30 seconds to 1 minute, or until fragrant. Add the tomato sauce and remaining Italian seasoning. Cook, stirring frequently, 2 to 3 minutes, or until slightly thickened. Turn off the heat and season with salt and pepper to taste."
24,4,0101_FPV_Broccoli-Mozzarella-Calzones_18428_WEB_high_feature,0101_FPV_Broccoli-Mozzarella-Calzones_18428_WEB_retina_feature,"6. Just before serving, add the chopped olives and lettuce to the bowl of dressing. Toss to coat; season with salt and pepper to taste. Cut the baked calzones in half. Serve with the sauce and salad on the side. Garnish with the remaining parmesan cheese. Enjoy!"
25,5,0101_2PV1_Broccoli-Bucatini-Fettucine_18429_WEB_high_feature,0101_2PV1_Broccoli-Bucatini-Fettucine_18429_WEB_retina_feature,"1. Prepare the ingredients: Heat a large pot of salted water to boiling on high. Wash and dry the fresh produce. Cut off and discard the bottom 1/2 inch of the broccoli stem; cut the broccoli into small pieces, keeping the florets intact. Peel and finely chop the garlic."
26,5,0101_2PV1_Broccoli-Bucatini-Fettucine_18403_WEB_high_feature,0101_2PV1_Broccoli-Bucatini-Fettucine_18403_WEB_retina_feature,"2. Cook the broccoli: In a large pan, heat 2 teaspoons of olive oil on medium-high until hot. Add the broccoli pieces; season with salt and pepper. Cook, stirring occasionally, 4 to 5 minutes, or until slightly softened. Add 1/2 cup of water; season with salt and pepper. Cover the pan with aluminum foil and cook 3 to 4 minutes, or until the broccoli has softened and the water has cooked off. Transfer to a bowl. Wipe out the pan."
27,5,0101_2PV1_Broccoli-Bucatini-Fettucine_18406_WEB_high_feature,0101_2PV1_Broccoli-Bucatini-Fettucine_18406_WEB_retina_feature,"3. While the broccoli cooks, add the pasta to the pot of boiling water and cook 8 to 10 minutes, or until al dente (still slightly firm to the bite). Reserving 1⁄2 cup of the pasta cooking water, drain thoroughly."
28,5,0101_2PV1_Broccoli-Bucatini-Fettucine_18416_WEB_high_feature,0101_2PV1_Broccoli-Bucatini-Fettucine_18416_WEB_retina_feature,"4. In the same pan, heat 1 1/2 tablespoons of olive oil on medium-high until hot. Add the chopped garlic; season with salt and pepper. Cook, stirring constantly, 30 seconds to 1 minute, or until fragrant. Add the flour and as much of the red pepper flakes as you’d like, depending on how spicy you’d like the dish to be. Cook, stirring constantly, 30 seconds to 1 minute, or until thoroughly combined. Add the heavy cream (shaking the bottle just before opening), verjus, and 1 1/4 cups of water; season with salt and pepper. Cook, whisking frequently, 2 to 3 minutes, or until thickened; season with salt and pepper to taste."
29,5,0101_2PV1_Broccoli-Bucatini-Fettucine_18431_WEB_high_feature,0101_2PV1_Broccoli-Bucatini-Fettucine_18431_WEB_retina_feature,"5. Finish & serve your dish: Add the cooked pasta, cooked broccoli, crème fraîche, and half the reserved pasta cooking water to the pan. Cook, stirring vigorously, 30 seconds to 1 minute, or until the pasta is thoroughly coated. (If the sauce seems dry, gradually add the remaining pasta cooking water to achieve your desired consistency.) Turn off the heat and season with salt and pepper to taste. Garnish the finished pasta with the cheese; season with pepper. Enjoy!"
30,6,1225_2PV1_Bucatini_18441_WEB_high_feature,1225_2PV1_Bucatini_18441_WEB_retina_feature,"1. Place an oven rack in the center of the oven, then preheat to 450°F. Heat a large pot of salted water to boiling on high. Wash and dry the fresh produce. Cut off and discard the bottom 1/2 inch of the broccoli stem; cut the broccoli into small pieces. Place on a sheet pan. Drizzle with olive oil and season with salt, pepper, and up to half the Italian seasoning (you will have extra); toss to coat. Arrange in an even layer. Roast 22 to 24 minutes, or until browned and tender when pierced with a fork. Remove from the oven."
31,6,1225_2PV1_Bucatini_18402_WEB_high_feature,1225_2PV1_Bucatini_18402_WEB_retina_feature,"2. While the broccoli roasts, peel and roughly chop the garlic. Using the flat side of your knife, smash the olives; remove and discard the pits, then roughly chop. Grate the cheese on the small side of a box grater."
32,6,1225_2PV1_Bucatini_18423_WEB_high_feature,1225_2PV1_Bucatini_18423_WEB_retina_feature,"3. While the broccoli continues to roast, add the pasta to the pot of boiling water and cook 8 to 10 minutes, or until al dente (still slightly firm to the bite). Turn off the heat. Reserving 1/2 cup of the pasta cooking water, drain thoroughly and return to the pot."
33,6,1225_2PV1_Bucatini_18416_WEB_high_feature,1225_2PV1_Bucatini_18416_WEB_retina_feature,"4. While the pasta cooks, in a medium pan, heat 2 teaspoons of olive oil on medium-high until hot. Add the chopped garlic, capers, and as much of the red pepper flakes as you’d like, depending on how spicy you’d like the dish to be; season with salt and pepper. Cook, stirring constantly, 30 seconds to 1 minute, or until fragrant. Add the tomatoes and chopped olives; season with salt and pepper. Cook, stirring occasionally and gently crushing the tomatoes with the back of a spoon, 6 to 7 minutes, or until thickened. Turn off the heat and season with salt and pepper to taste."
34,6,1225_2PV1_Bucatini_18448_WEB_high_feature,1225_2PV1_Bucatini_18448_WEB_retina_feature,"5. To the pot of cooked pasta, add the roasted broccoli, sauce, butter, half the grated cheese, and half the reserved pasta cooking water; season with salt and pepper. Cook on medium-high, stirring vigorously, 1 to 2 minutes, or until the pasta is thoroughly coated. (If the sauce seems dry, gradually add the remaining pasta cooking water to achieve your desired consistency.) Turn off the heat and season with salt and pepper to taste. Garnish the finished pasta with the remaining grated cheese. Enjoy!"
35,7,1218_FPV_Enchiladas_18473_WEB_high_feature,1218_FPV_Enchiladas_18473_WEB_retina_feature,"1. Place an oven rack in the center of the oven, then preheat to 450°F. In a medium pot, combine the rice, half the spice blend, a big pinch of salt, and 1 1/2 cups of water. Heat to boiling on high. Once boiling, cover and reduce the heat to low. Cook 12 to 14 minutes, or until the water has been absorbed and the rice is tender. Turn off the heat and fluff with a fork. Transfer to a large bowl and set aside in a warm place."
36,7,1218_FPV_Enchiladas_18459_WEB_high_feature,1218_FPV_Enchiladas_18459_WEB_retina_feature,"2. Prepare the ingredients & make the lime sour cream: While the rice cooks, wash and dry the fresh produce. Thinly slice the mushrooms. Remove and discard the stems of the kale; roughly chop the leaves. Peel and roughly chop the garlic. Peel and thinly slice the onion. Place the tomatoes in a bowl; gently break apart with your hands. Grate the cheese on the large side of a box grater. Thinly slice the chives. Halve the lime crosswise. In a bowl, combine the sour cream, the juice of 1 lime half, and a drizzle of olive oil; season with salt and pepper to taste."
37,7,1218_FPV_Enchiladas_18492_WEB_high_feature,1218_FPV_Enchiladas_18492_WEB_retina_feature,"3. Cook the vegetables & start the filling: In a large pan, heat 2 teaspoons of olive oil on medium-high until hot. Add the sliced mushrooms in an even layer. Cook, without stirring, 2 to 3 minutes, or until lightly browned. Add the chopped kale and 1/2 cup of water; season with salt and pepper. Cook, stirring frequently, 4 to 5 minutes, or until the kale has wilted and the water has cooked off. Transfer to the bowl of cooked rice; stir to combine. Wipe out the pan."
38,7,1218_FPV_Enchiladas_18507_WEB_high_feature,1218_FPV_Enchiladas_18507_WEB_retina_feature,"4. In the same pan, heat 2 teaspoons of olive oil on medium-high until hot. Add the chopped garlic and sliced onion; season with salt and pepper. Cook, stirring frequently, 4 to 5 minutes, or until softened. Add the chile paste and remaining spice blend; cook, stirring constantly, 30 seconds to 1 minute, or until dark red and fragrant. Add the tomatoes; season with salt and pepper. Cook, stirring frequently, 6 to 7 minutes, or until thickened. Turn off the heat. Season with salt and pepper to taste."
39,7,1218_FPV_Enchiladas_18515_WEB_high_feature,1218_FPV_Enchiladas_18515_WEB_retina_feature,"5. Finish the filling & assemble the enchiladas: Add half the cheese and the juice of the remaining lime half to the bowl of filling. Stir to combine; season with salt and pepper to taste. Place the tortillas on a work surface. Spread about half the sauce into the bottom of a baking dish. Divide the finished filling among the tortillas; tightly roll up each tortilla around the filling. Transfer to the baking dish in a single layer, seam side down. Evenly top with the remaining sauce and remaining cheese."
40,7,1218_FPV_Enchiladas_18530_WEB_high_feature,1218_FPV_Enchiladas_18530_WEB_retina_feature,"6. Bake the enchiladas & serve your dish: Bake the enchiladas 10 to 12 minutes, or until the cheese has melted. Remove from the oven and let stand for at least 2 minutes. Garnish with the sliced chives. Serve with the lime sour cream. Enjoy!"
41,8,0101_FPF_Crispy-Wild-Alaskan-Pollock_3170_WEB_high_feature,0101_FPF_Crispy-Wild-Alaskan-Pollock_3170_WEB_retina_feature,"1. Prepare & roast the sweet potatoes: Place an oven rack in the center of the oven, then preheat to 450°F. Wash and dry the fresh produce. Cut the sweet potatoes lengthwise into 1-inch-wide wedges. Place on a sheet pan. Drizzle with olive oil and season with salt and pepper; toss to coat. Arrange in an even layer, skin side down. Roast 27 to 29 minutes, or until browned and tender when pierced with a fork. Reserving the sheet pan, transfer to a plate and set aside in a warm place."
42,8,0101_FPF_Crispy-Wild-Alaskan-Pollock_3148_WEB_high_feature,0101_FPF_Crispy-Wild-Alaskan-Pollock_3148_WEB_retina_feature,"2. While the sweet potatoes roast, cut off and discard the root end of the lettuce; thinly slice the leaves. Halve the rolls. In a bowl, combine the mayonnaise, creamy mustard sauce, and sweet pickle relish. Season with salt and pepper to taste. Pat the fish fillets dry with paper towels. Halve crosswise."
43,8,0101_FPF_Crispy-Wild-Alaskan-Pollock_3161_WEB_high_feature,0101_FPF_Crispy-Wild-Alaskan-Pollock_3161_WEB_retina_feature,"3. While the sweet potatoes continue to roast, season the halved fish fillets on both sides with salt, pepper, and the spice blend. Crack the eggs into a bowl; season with salt and pepper. Beat until smooth. Place the breadcrumbs on a plate; season with salt and pepper. Working one piece at a time, thoroughly coat the seasoned fillets in the beaten eggs (letting any excess drip off), then in the breadcrumbs (pressing to adhere). Transfer to a separate plate."
44,8,0101_FPF_Crispy-Wild-Alaskan-Pollock_3182_WEB_high_feature,0101_FPF_Crispy-Wild-Alaskan-Pollock_3182_WEB_retina_feature,"4. While the sweet potatoes continue to roast, in a large pan (nonstick, if you have one), heat a thin layer of oil on medium-high until hot. Once the oil is hot enough that a pinch of breadcrumbs sizzles immediately when added, working in batches if necessary, add the breaded fish fillets. Cook 2 to 3 minutes per side, or until browned and cooked through. (If the pan seems dry, add 1 teaspoon of olive oil before flipping.) Transfer to a paper towel- lined plate; immediately season with salt and pepper."
45,8,0101_FPF_Crispy-Wild-Alaskan-Pollock_3185_WEB_high_feature,0101_FPF_Crispy-Wild-Alaskan-Pollock_3185_WEB_retina_feature,"5. While the fish cooks, place the rolls on the same sheet pan, cut side up. Drizzle with olive oil. Toast in the oven 4 to 5 minutes, or until lightly browned. Transfer to a clean work surface."
46,8,0101_FPF_Crispy-Wild-Alaskan-Pollock_3204_WEB_high_feature,0101_FPF_Crispy-Wild-Alaskan-Pollock_3204_WEB_retina_feature,"6. Assemble the sandwiches & serve your dish: Divide the sauce, cooked fish fillets, and sliced lettuce among the toasted rolls. Serve the sandwiches with the roasted sweet potatoes on the side. Enjoy!"
47,9,0101_2PRE07_General-Tsos-Chicken_18434_WEB_high_feature,"0101_2PRE07_General-Tsos-Chicken_18434_WEB_retina_feature
","1. Remove the honey from the refrigerator to bring to room temperature. In a medium saucepan, combine the rice, a big pinch of salt, and 1 1/2 cups of water; heat to boiling on high. Once boiling, cover and reduce the heat to low. Cook 12 to 14 minutes, or until the water has been absorbed and the rice is tender. Turn off the heat and fluff with a fork. Cover to keep warm."
48,9,0101_2PRE07_General-Tsos-Chicken_18405_WEB_high_feature,0101_2PRE07_General-Tsos-Chicken_18405_WEB_high_feature,"2 Coat & cook the chicken: While the rice cooks, pat the chicken dry with paper towels. Place in a large bowl and season with salt and pepper. Add the cornstarch; toss to thoroughly coat. In a medium pan, heat a thin layer of oil on medium-high until hot. Once the oil is hot enough that a piece of chicken sizzles immediately when added to the pan, add the coated chicken in an even layer (tapping off any excess cornstarch before adding). Cook, without stirring, 3 to 4 minutes, or until lightly browned. Continue to cook, stirring occasionally, 3 to 4 minutes, or until browned and cooked through. Leaving any browned bits (or fond) in the pan, transfer to a plate. Set aside in a warm place"
49,9,0101_2PRE07_General-Tsos-Chicken_18402_WEB_high_feature,"0101_2PRE07_General-Tsos-Chicken_18402_WEB_retina_feature
","3. Prepare the ingredients & make the sauce: While the chicken cooks, wash and dry the fresh produce. Cut off and discard the root end of the bok choy; roughly chop. Peel and finely chop the ginger. Peel and roughly chop the garlic. In a bowl, combine the hoisin sauce, vinegar, honey (kneading the packet before opening), sesame oil, 1 tablespoon of water, and as much of the sriracha as you’d like, depending on how spicy you’d like the dish to be."
50,9,0101_2PRE07_General-Tsos-Chicken_18414_WEB_high_feature,0101_2PRE07_General-Tsos-Chicken_18414_WEB_retina_feature,"4. Add the chopped bok choy, ginger, and garlic to the pan of reserved fond; season with salt and pepper. (If the pan seems dry, add 1 tablespoon of olive oil.) Cook on medium-high, stirring frequently, 2 to 3 minutes, or until softened and fragrant. Add the sauce and cook, stirring constantly and scraping up any fond, 30 seconds to 1 minute, or until thoroughly combined."
51,9,0101_2PRE07_General-Tsos-Chicken_18422_WEB_high_feature,"0101_2PRE07_General-Tsos-Chicken_18422_WEB_retina_feature
",5. Finish & serve your dish:
52,10,0101_FPM_Pork-Chops_18526_WEB_high_feature,0101_FPM_Pork-Chops_18526_WEB_retina_feature,Turn off the heat and add the cooked chicken to the pan; stir to thoroughly coat. Season with salt and pepper to taste. Serve the finished chicken and bok choy with the cooked rice. Enjoy!
53,10,0101_FPM_Pork-Chops_18450_WEB_high_feature,0101_FPM_Pork-Chops_18450_WEB_retina_feature,"2. Cook the vegetables: In a large pan, heat 2 teaspoons of olive oil on medium-high until hot. Add the chopped ginger, sliced cabbage, and sliced carrots; season with salt and pepper. Cook, stirring occasionally, 4 to 5 minutes, or until softened and fragrant. Transfer to a bowl and cover with aluminum foil to keep warm. Rinse and wipe out the pan."
54,10,0101_FPM_Pork-Chops_18467_WEB_high_feature,0101_FPM_Pork-Chops_18467_WEB_retina_feature,"3. Cook & glaze the pork chops: Pat the pork chops dry with paper towels; season with salt and pepper on both sides. In the same pan, heat 1 tablespoon of olive oil on medium-high until hot. Add the seasoned pork chops and cook 3 to 5 minutes on the first side, or until browned. Flip and cook 2 to 3 minutes, or until lightly browned. Add the hoisin sauce and 1/4 cup of water. Cook, frequently spooning the glaze over the pork, 2 to 3 minutes, or until the pork chops are coated and cooked through. Turn off the heat."
55,10,0101_FPM_Pork-Chops_18441_WEB_high_feature,0101_FPM_Pork-Chops_18441_WEB_retina_feature,"4. While the pork chops cook, in a bowl, whisk together the soy sauce, tahini, vinegar, and as much of the sambal oelek as you’d like, depending on how spicy you’d like the dish to be. Season with salt and pepper to taste."
56,10,0101_FPM_Pork-Chops_18484_WEB_high_feature,0101_FPM_Pork-Chops_18484_WEB_retina_feature,"5. While the pork chops continue to cook, using your hands, carefully separate the noodles and add to the pot of boiling water; cook, stirring occasionally, 2 to 4 minutes, or until tender. Turn off the heat. Drain thoroughly and return to the pot."
57,10,0101_FPM_Pork-Chops_18487_WEB_high_feature,0101_FPM_Pork-Chops_18487_WEB_retina_feature,"6. Finish the noodles & serve your dish: Add the cooked vegetables, sauce, and 1⁄4 cup of water to the pot of cooked noodles. Cook on medium-high, stirring constantly, 30 seconds to 1 minute, or until thoroughly combined. Turn off the heat. Season with salt and pepper to taste. Serve the finished noodles topped with the glazed pork chops (including any glaze from the pan). Garnish with the sliced chives. Enjoy!"
58,11,0108_FPF_Barramundi_0216_WEB_high_feature,0108_FPF_Barramundi_0216_WEB_retina_feature,"1. Prepare the ingredients: Remove the honey from the refrigerator to bring to room temperature. Place an oven rack in the center of the oven, then preheat to 450°F. Wash and dry the fresh produce. Halve the potatoes lengthwise; cut crosswise into 1/4- inch pieces. Peel the carrots; halve lengthwise, then cut crosswise into 1/2- inch pieces. Cut off and discard the ends of the radishes; quarter lengthwise, then halve crosswise. Quarter and deseed the lemon. Peel and finely chop the garlic; using the flat side of your knife, smash until it resembles a paste (or use a zester). Roughly chop the parsley leaves and stems."
59,11,0108_FPF_Barramundi_0269_WEB_high_feature,0108_FPF_Barramundi_0269_WEB_retina_feature,"2. Roast the vegetables: Place the sliced potatoes and carrot pieces on a sheet pan. Drizzle with 1 tablespoon of olive oil; season with salt, pepper, and the za’atar seasoning. Toss to coat. Arrange in an even layer on one side of the sheet pan. Roast 12 to 14 minutes, or until lightly browned. Leaving the oven on, remove from the oven. Place the radish pieces in a bowl. Drizzle with olive oil and season with salt and pepper; toss to coat. Carefully arrange on the other side of the sheet pan. Roast 10 to 12 minutes, or until tender when pierced with a fork. Remove from the oven. Evenly top with the juice of 2 lemon wedges."
60,11,0108_FPF_Barramundi_98216_WEB_high_feature,0108_FPF_Barramundi_98216_WEB_retina_feature,"3. Make the yogurt sauce: While the vegetables roast, in a bowl, combine the yogurt, the juice of the remaining lemon wedges, 1 tablespoon of olive oil, and as much of the garlic paste as you’d like. Drizzle with olive oil and season with salt and pepper to taste."
61,11,0108_FPF_Barramundi_98243_WEB_high_feature,0108_FPF_Barramundi_98243_WEB_retina_feature,"4. Once the vegetables have roasted for about 10 minutes, pat the fish fillets dry with paper towels; season with salt and pepper on both sides. In a large pan (nonstick, if you have one), heat 1 tablespoon of olive oil on medium-high until hot. Add the seasoned fillets, skin side down. Cook 4 to 6 minutes on the first side, or until lightly browned. Flip and add the butter. Cook, frequently spooning the butter over the fillets, 2 to 3 minutes, or until the fish is cooked through. Leaving the melted butter and any browned bits (or fond) in the pan, transfer the cooked fillets to a plate."
